,open_time,open,high,low,close,VOLUME,close_time
0,1714945500000,5.6578,5.68,5.6576,5.6726,206994.0,1714946399999
1,1714946400000,5.6728,5.6737,5.6202,5.64,581541.0,1714947299999
2,1714947300000,5.6401,5.6455,5.6246,5.6431,309939.0,1714948199999
3,1714948200000,5.6429,5.6547,5.6113,5.6498,561884.0,1714949099999
4,1714949100000,5.6499,5.6625,5.6322,5.6526,316747.0,1714949999999
5,1714950000000,5.6525,5.7237,5.6455,5.7198,734246.0,1714950899999
6,1714950900000,5.7195,5.7681,5.71,5.7425,893630.0,1714951799999
7,1714951800000,5.7427,5.7471,5.711,5.723,487263.0,1714952699999
8,1714952700000,5.7228,5.7529,5.7072,5.7426,522287.0,1714953599999
9,1714953600000,5.7426,5.768,5.7175,5.7272,889864.0,1714954499999
10,1714954500000,5.7272,5.7983,5.723,5.7741,806878.0,1714955399999
11,1714955400000,5.7746,5.8789,5.7746,5.8056,1842827.0,1714956299999
12,1714956300000,5.8056,5.844,5.7649,5.8282,1019560.0,1714957199999
13,1714957200000,5.8281,5.8871,5.81,5.8767,1162779.0,1714958099999
14,1714958100000,5.8766,5.9798,5.8629,5.8957,2288905.0,1714958999999
15,1714959000000,5.8957,5.8986,5.8041,5.8842,1732226.0,1714959899999
16,1714959900000,5.8838,5.885,5.7804,5.7842,1212317.0,1714960799999
17,1714960800000,5.7843,5.7983,5.7459,5.7712,1199919.0,1714961699999
18,1714961700000,5.7711,5.7897,5.7151,5.7539,1133040.0,1714962599999
19,1714962600000,5.7536,5.7942,5.7316,5.7738,795631.0,1714963499999
20,1714963500000,5.7737,5.7873,5.7378,5.7527,672809.0,1714964399999
21,1714964400000,5.7517,5.8084,5.7475,5.7772,979029.0,1714965299999
22,1714965300000,5.7774,5.8624,5.7763,5.8418,1326460.0,1714966199999
23,1714966200000,5.842,5.8856,5.8284,5.8775,784178.0,1714967099999
24,1714967100000,5.877,5.877,5.8334,5.854,665483.0,1714967999999
25,1714968000000,5.854,5.8782,5.8023,5.8362,1110887.0,1714968899999
26,1714968900000,5.8373,5.8762,5.8365,5.8594,751811.0,1714969799999
27,1714969800000,5.8596,5.8662,5.8127,5.8364,597660.0,1714970699999
28,1714970700000,5.8362,5.8924,5.8216,5.864,810463.0,1714971599999
29,1714971600000,5.8639,5.9468,5.8443,5.9056,1143550.0,1714972499999
30,1714972500000,5.9056,5.9698,5.901,5.9372,1634300.0,1714973399999
31,1714973400000,5.9375,5.99,5.9189,5.9746,1434555.0,1714974299999
32,1714974300000,5.9748,5.98,5.9341,5.9517,798674.0,1714975199999
33,1714975200000,5.9518,6.052,5.9328,6.0339,2180360.0,1714976099999
34,1714976100000,6.0345,6.0888,5.9881,5.996,2310498.0,1714976999999
35,1714977000000,5.9966,5.9996,5.9452,5.9819,1440885.0,1714977899999
36,1714977900000,5.9827,6.0522,5.9815,6.0302,1045854.0,1714978799999
37,1714978800000,6.0303,6.153,6.0244,6.096,2734430.0,1714979699999
38,1714979700000,6.0975,6.163,6.0614,6.1521,1815288.0,1714980599999
39,1714980600000,6.1527,6.2791,6.1184,6.2502,3117891.0,1714981499999
40,1714981500000,6.2501,6.3598,6.216,6.3268,4383909.0,1714982399999
41,1714982400000,6.3274,6.3572,6.2601,6.2935,3067758.0,1714983299999
42,1714983300000,6.2935,6.4069,6.277,6.3801,4002963.0,1714984199999
43,1714984200000,6.3801,6.5383,6.356,6.4449,5399454.0,1714985099999
44,1714985100000,6.445,6.4466,6.3149,6.3549,3845761.0,1714985999999
45,1714986000000,6.3548,6.4224,6.3216,6.4133,1841395.0,1714986899999
46,1714986900000,6.4141,6.4201,6.321,6.3434,1246728.0,1714987799999
47,1714987800000,6.3434,6.346,6.2742,6.3066,782873.0,1714988699999
