,open_time,open,high,low,close,VOLUME,close_time
0,1714938300000,2.7858,2.7905,2.782,2.7896,11634.8,1714939199999
1,1714939200000,2.7887,2.7928,2.7797,2.7838,42303.8,1714940099999
2,1714940100000,2.7836,2.7836,2.7659,2.7675,36165.7,1714940999999
3,1714941000000,2.7672,2.7769,2.7608,2.7729,21232.1,1714941899999
4,1714941900000,2.7736,2.7879,2.7706,2.7834,32159.8,1714942799999
5,1714942800000,2.7837,2.7954,2.7772,2.7848,55633.3,1714943699999
6,1714943700000,2.7848,2.7858,2.7713,2.7814,19794.2,1714944599999
7,1714944600000,2.7814,2.7825,2.7715,2.7753,14012.2,1714945499999
8,1714945500000,2.7756,2.7798,2.7657,2.7794,24126.9,1714946399999
9,1714946400000,2.7777,2.7819,2.7667,2.7766,35137.3,1714947299999
10,1714947300000,2.7766,2.7871,2.7702,2.7795,20277.9,1714948199999
11,1714948200000,2.7795,2.7887,2.7739,2.7822,24409.9,1714949099999
12,1714949100000,2.7822,2.7866,2.779,2.7829,7658.2,1714949999999
13,1714950000000,2.7835,2.848,2.7823,2.8399,489630.7,1714950899999
14,1714950900000,2.8395,2.8822,2.8387,2.8714,206812.5,1714951799999
15,1714951800000,2.8711,2.8758,2.8226,2.8307,131492.6,1714952699999
16,1714952700000,2.8319,2.8339,2.8168,2.8241,77986.4,1714953599999
17,1714953600000,2.8235,2.8378,2.8193,2.8352,54086.4,1714954499999
18,1714954500000,2.8352,2.8454,2.8183,2.8383,59703.8,1714955399999
19,1714955400000,2.8372,2.8672,2.8371,2.8624,63078.9,1714956299999
20,1714956300000,2.861,2.8764,2.8534,2.8687,43878.0,1714957199999
21,1714957200000,2.8687,2.8828,2.8541,2.8735,76288.8,1714958099999
22,1714958100000,2.8734,2.8778,2.8542,2.855,25035.5,1714958999999
23,1714959000000,2.854,2.8643,2.8354,2.8637,32281.4,1714959899999
24,1714959900000,2.863,2.863,2.8341,2.8385,23315.0,1714960799999
25,1714960800000,2.8382,2.85,2.83,2.8436,32214.1,1714961699999
26,1714961700000,2.843,2.8484,2.8303,2.8373,25033.6,1714962599999
27,1714962600000,2.8372,2.8474,2.8306,2.8465,49116.7,1714963499999
28,1714963500000,2.8467,2.8616,2.832,2.8359,73584.3,1714964399999
29,1714964400000,2.8362,2.8647,2.8357,2.8508,56368.9,1714965299999
30,1714965300000,2.8509,2.8858,2.8504,2.8795,74851.5,1714966199999
31,1714966200000,2.879,2.8943,2.8764,2.8815,98015.4,1714967099999
32,1714967100000,2.8815,2.8873,2.8647,2.8702,81614.6,1714967999999
33,1714968000000,2.8706,2.8706,2.8312,2.8344,192378.6,1714968899999
34,1714968900000,2.8348,2.839,2.7991,2.8163,209057.1,1714969799999
35,1714969800000,2.8169,2.8191,2.8013,2.8135,77465.3,1714970699999
36,1714970700000,2.8132,2.83,2.8125,2.8253,48815.6,1714971599999
37,1714971600000,2.8259,2.8651,2.8193,2.8518,105463.1,1714972499999
38,1714972500000,2.8513,2.9154,2.8488,2.9068,260766.6,1714973399999
39,1714973400000,2.9065,2.952,2.9,2.9476,198407.7,1714974299999
40,1714974300000,2.9476,2.9631,2.923,2.9348,211903.6,1714975199999
41,1714975200000,2.9345,2.9648,2.9217,2.9638,163208.6,1714976099999
42,1714976100000,2.9637,2.965,2.9317,2.9396,140272.6,1714976999999
43,1714977000000,2.9399,2.9532,2.9207,2.9493,83791.7,1714977899999
44,1714977900000,2.9482,2.9999,2.9378,2.9958,272860.3,1714978799999
45,1714978800000,2.9955,3.0876,2.9852,3.0856,483439.2,1714979699999
46,1714979700000,3.0856,3.2165,3.0793,3.106,1699459.4,1714980599999
47,1714980600000,3.1048,3.107,3.0773,3.1056,245172.1,1714981499999
