
26.03.2024 | 02:22:55 | |0%|0/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 0.5
26.03.2024 | 02:23:07 | |0%|1/31008|+0|-0|0 | Настройки - | 0.5 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:23:19 | |0%|2/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 0.6
26.03.2024 | 02:23:30 | |0%|3/31008|+0|-0|0 | Настройки - | 0.6 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:23:42 | |0%|4/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 0.7
26.03.2024 | 02:23:54 | |0%|5/31008|+0|-0|0 | Настройки - | 0.7 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:24:06 | |0%|6/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 0.8
26.03.2024 | 02:24:17 | |0%|7/31008|+0|-0|0 | Настройки - | 0.8 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:24:29 | |0%|8/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 0.9
26.03.2024 | 02:24:40 | |0%|9/31008|+0|-0|0 | Настройки - | 0.9 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:24:52 | |0%|10/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1
26.03.2024 | 02:25:03 | |0%|11/31008|+0|-0|0 | Настройки - | 1 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:25:15 | |0%|12/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.1
26.03.2024 | 02:25:25 | |0%|13/31008|+0|-0|0 | Настройки - | 1.1 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:25:37 | |0%|14/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.2
26.03.2024 | 02:25:48 | |0%|15/31008|+0|-0|0 | Настройки - | 1.2 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:26:00 | |0%|16/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.3
26.03.2024 | 02:26:10 | |0%|17/31008|+0|-0|0 | Настройки - | 1.3 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:26:22 | |0%|18/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.4
26.03.2024 | 02:26:32 | |0%|19/31008|+0|-0|0 | Настройки - | 1.4 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:26:44 | |0%|20/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.5
26.03.2024 | 02:26:54 | |0%|21/31008|+0|-0|0 | Настройки - | 1.5 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:27:06 | |0%|22/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.6
26.03.2024 | 02:27:15 | |0%|23/31008|+0|-0|0 | Настройки - | 1.6 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:27:27 | |0%|24/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.7
26.03.2024 | 02:27:37 | |0%|25/31008|+0|-0|0 | Настройки - | 1.7 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:27:49 | |0%|26/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.8
26.03.2024 | 02:27:59 | |0%|27/31008|+0|-0|0 | Настройки - | 1.8 | 0.4 | 0.3 | 0.2 | 0.1
26.03.2024 | 02:28:11 | |0%|28/31008|+0|-0|0 | Настройки - | 0.1 | 0.2 | 0.3 | 0.4 | 1.9
